iter	Passed	Remaining
0	0	93
1	1	82
2	2	77
3	3	79
4	5	108
5	7	112
6	8	110
7	10	119
8	11	115
9	12	109
10	12	104
11	13	101
12	14	96
13	15	93
14	15	90
15	16	86
16	17	85
17	18	86
18	20	87
19	21	85
20	22	83
21	22	81
22	23	78
23	24	76
24	24	74
25	25	72
26	26	70
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	63
34	34	63
35	36	65
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	50	59
46	51	58
47	53	57
48	54	56
49	55	55
50	57	55
51	60	55
52	61	54
53	63	54
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	78	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	98	10
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
